ID	7_18_06_1	7_18_06_3	7_18_06_5	7_18_07_1	7_18_07_3	7_18_07_4	7_18_07_5	7_18_08_5	7_18_09_3	7_18_10_2	7_18_10_3	7_18_10_5	7_19_02_4	7_19_04_3	7_19_04_5	7_19_06_3	7_19_06_5	7_19_07_4	7_19_07_5	7_19_08_3	7_19_08_4	7_19_08_5	7_19_09_1	7_19_09_3	7_19_09_4	7_19_10_2	7_19_10_4	7_20_01_2	7_20_01_5	7_20_02_1	7_20_02_2	7_20_02_3	7_20_02_5	7_20_03_1	7_20_03_3	7_20_04_2	7_20_05_4	7_20_06_2	7_20_07_2	7_20_07_4	7_20_07_5	7_20_08_4	7_20_09_1	7_20_09_2	7_20_09_3	blank	NY06_0509_03	NY06_0514_04	PS115_03_02_2	PS115_03_02_5	PS115_03_03_1	PS115_03_03_5	PS115_03_04_4	PS115_03_05_2	PS115_03_05_5	PS115_03_06_3	PS115_03_07_2	PS115_03_07_4	PS115_03_08_3	PS115_03_08_4	PS115_03_09_2	PS115_03_10_3	PS115_03_10_5	PS115_04_01_2	PS115_04_02_3	PS115_04_02_5	PS115_04_03_3	PS115_04_03_5	PS115_04_05_2	PS115_04_05_3	PS115_04_05_4	PS115_04_05_5	PS115_04_06_1	PS115_04_06_5	PS115_04_07_1	PS115_04_07_2	PS115_04_08_3	PS115_04_08_5	PS115_04_09_1	PS115_04_09_2	PS115_04_09_4	PS115_04_10_1	PS115_04_10_2	PS115_05_01_3	PS115_05_01_4	PS115_05_02_2	PS115_05_02_3	PS115_05_02_4	PS115_05_02_5	PS115_05_03_1	PS115_05_03_3	PS115_05_03_4	PS115_05_03_5	PS115_05_04_2	PS115_05_04_4	PS115_05_04_5
Ren4_Tag4	810	857	40	902	46	554	705	41	1605	27	716	22	896	1010	36	53	756	784	26	665	612	17	24	1030	18	780	770	735	1002	836	32	674	666	830	496	29	44	62	942	52	88	1105	1056	23	716	168	20	20	32	36	25	31	51	37	20	30	19	21	30	32	11	19	26	36	37	49	59	14	23	8	15	16	30	35	44	40	11	14	17	36	27	49	26	12	25	23	27	52	66	18	24	26	45	49	18	62
Ren4_Tag6	461	141	138	175	14	216	184	226	247	21	81	154	371	287	156	191	108	218	246	93	192	149	172	157	74	139	294	78	84	107	130	175	184	116	286	210	214	102	221	97	198	176	289	92	166	0	86	23	133	118	175	12	4	0	20	10	89	95	134	12	115	13	91	9	0	72	196	143	18	64	3	9	74	15	0	12	83	107	62	7	122	110	89	133	66	105	8	177	23	78	4	0	9	136	11	137
Ren4_Tag9	99	42	42	43	33	36	42	28	68	30	20	28	66	50	21	82	20	78	48	19	26	33	31	21	27	36	73	30	19	33	36	33	30	30	43	49	20	44	77	35	56	57	55	46	37	30	40	26	39	36	60	24	30	30	34	23	22	21	30	33	25	11	20	17	13	12	38	34	12	16	12	15	21	28	18	20	17	12	17	24	32	33	19	12	19	24	57	57	49	24	15	14	26	30	16	43
Ren4_Tag16	13	0	2	6	2	8	2	0	18	4	1	2	25	49	3	3	28	65	2	16	5	6	3	14	2	7	11	0	11	0	1	0	1	9	10	0	3	2	2	1	6	3	0	0	12	23	2	2	0	1	15	5	0	0	0	1	1	1	3	1	2	2	2	3	2	5	6	1	3	3	4	2	3	6	1	3	1	1	2	2	2	4	2	0	1	1	1	6	13	0	1	1	4	13	3	4
Ren4_Tag18	7	6	4	7	22	4	2	2	11	15	3	0	8	20	2	10	8	71	1	12	6	8	2	8	3	6	6	4	7	7	8	2	2	5	2	3	0	1	6	2	11	7	2	2	8	0	10	6	0	3	6	4	5	5	10	8	0	1	1	14	2	6	2	11	9	2	5	1	5	4	2	8	0	6	8	6	3	2	3	1	2	1	2	2	1	2	5	6	18	1	7	6	14	3	8	1
Ren4_Tag19	9	4	1	2	4	6	4	1	8	7	5	5	11	43	2	5	18	31	1	10	13	7	8	13	7	5	6	3	11	2	5	1	2	6	5	1	0	1	1	1	1	5	1	4	10	4	3	4	1	7	12	1	1	9	6	5	2	3	1	0	7	3	4	9	10	3	6	5	5	13	6	3	3	11	7	16	8	7	3	5	2	5	8	11	10	3	6	6	8	6	3	8	12	12	2	0
Run1_CB33.34	16	1	1	0	19	4	25	20	0	52	8	26	9	2	1	130	10	0	18	0	0	16	1	6	13	0	8	20	1	0	0	0	0	21	11	21	10	0	17	71	0	9	1	145	2	422	9	10	2	11	0	7	14	0	0	20	0	7	9	1	1	0	1	0	4	0	0	0	3	0	0	4	0	0	0	0	4	6	0	0	0	0	0	4	1	18	0	1	7	1	7	7	3	0	8	1
Run1_CB55.56	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Run1_CB63.64	11	10	2	4	1	8	9	11	11	3	6	0	7	11	4	1	7	8	7	1	7	0	8	9	0	8	15	4	6	8	6	5	5	8	5	13	6	0	16	3	8	14	6	1	6	7	1	1	21	11	0	0	2	0	0	0	12	13	22	3	7	15	7	2	0	9	6	5	15	24	10	5	5	24	15	0	20	0	4	12	4	0	20	14	13	10	0	5	3	7	8	9	0	21	8	15
